var,context,short def,long def,number of vars in sentence,context length,distance
Q′,of a cyclic group is abelian the commutator subgroup Q′ centralizes A.,subgroup,commutator subgroup,1,12,1
P,Let P be a Sylow psubgroup of G,psubgroup,Sylow psubgroup of G,1,8,4
U,that such a σ is an inner automorphism and U is a subset of G which is conjugate,subset,subset of G,2,18,3
y,Let y be a generator of ⟨x⟩(t),generator,generator of ⟨x⟩(t),1,7,3
K,is a surjective homomorphism with kernel K of index p,kernel,kernel,2,10,1
r,where r denotes the p′part of the order of γσ,p'part,p'part of the order of γσ,2,10,3
S,where S is the magnitude of the spin m the,magnitude,magnitude of the spin,1,10,3
Δh,occurs when the magnetization remains constant over a range Δh of applied magnetic fields,range,range of applied magnetic fields,1,14,1
αμ,the inverse of the distance to a given power αμ,power,power,1,10,1
m,richer scenario is found in the case of magnetization m where larger unit cells are formed,magnetization,magnetization,1,16,1
⟨Siz⟩,In all of these cases the local magnetization ⟨Siz⟩ is uniform in the whole lattice.,magnetization,local magnetization,1,15,1
HΩ,is built in terms of the relevant observables energy HΩ,energy,relevant observables energy,1,10,1
pc,we note that the critical point pc quoted in,point,critical point,1,9,1
ϵ,energy for N particles e the specific internal energy ϵ the internal energy density p the pressure T,energy,internal energy density,5,18,9
cv,density μ the mean molecular weight in proton masses cv the specific heat capacity at constant volume Z,weight,mean molecular weight in proton masses,3,18,4
p,the specific internal energy ϵ the internal energy density p the pressure T the gas temperature,pressure,pressure,3,16,2
ζ,ζ is the ionization rate by CRs and other,rate,ionization rate,1,9,4
Z,masses cv the specific heat capacity at constant volume Z the partition function for the ensemble,capacity,specific heat capacity at constant volume,1,16,4
Γ,internal energy relations with discontinuities and assumptions of constant Γ,constant,constant,1,10,1
E,properties of an ideal gas: Let E be the internal energy for N particles,energy,internal energy,2,14,4
k,for a single particle and R where k is Boltzmann’s constant,constant,Boltzmann’s constant,1,11,3
k,and possibly on other parameters such as their degree k (preferential attachment),degree,degree,1,12,1
nk,We look for a stationary solution of the distribution nk which is determined by,solution,stationary solution of the distribution,1,14,4
p,with probability p or a random paper with probability,probability,probability,1,9,1
ν,This stationary solution has a powerlaw tail k whose exponent ν is obtained,exponent,exponent,2,13,1
r,Then with probability r the author cites the paper cited by the,probability,probability,1,12,1
g,the average number of nodes at the height g,height,average number of nodes at the height,1,9,1
Gt,interested in the behaviour of the average total height Gt,height,average total height,1,10,1
Nt,Consequently the total number of nodes is equal to Nt and the number of links,number,total number of nodes,1,15,6
t,At each time step t a new node enters the network,step,time step,1,11,1
Lt,and the number of links is also Lt,number,number of links,1,8,5
L,The probability that a polymer of length L folds on to itself to form a ring,length,length,1,16,1
ϵ,The reactionfield dielectric constant of ϵ below the lowest value,constant,reactionfield dielectric constant,1,10,2
TIG,cutoff is reached and the temperature of idealglass transition TIG is positive,temperature,temperature of idealglass transition,1,12,4
σ,Here ρ is the number density σ is the hardsphere diameter,diameter,hardsphere diameter,2,11,4
η,dipole moment as a function of the packing density η,density,packing density,2,10,1
A,is given in reduced units and thus the coefficients A,coefficients,coefficients,1,10,1
β,where β is the inverse temperature,temperature,inverse temperature,1,6,4
cV,where δe is the energy fluctuation and cV is the excess constantvolume heat capacity,capacity,excess constantvolume heat capacity,1,14,6
ρ,hard spheres depends on two parameters the reduced density ρ and the reduced temperature T,density,reduced density,2,15,1
KcRTN,but distinct from the critical connectivities KcRBN and KcRTN as predicted by meanfield theory,connectivity,critical connectivity,2,14,3
KcRBN,is close to but distinct from the critical connectivities KcRBN and KcRTN as predicted by meanfield,connectivities,critical connectivities,2,16,1
d¯,at which the average number of damaged nodes d¯ after a large number of,nodes,average number of damaged nodes,1,14,1
cij,The interaction weights cij take discrete values,weights,interaction weights,1,7,1
N,with perturbations that are independent of the network size N,size,network size,1,10,1
VtB,model gives the following relation between the relative volume VtB just before,volume,relative volume,1,12,1
dL,the binary masses m and m' the effective distance dL the phase at coalescence ϕc,distance,effective distance,4,15,1
tc,phase at coalescence ϕc and the time at coalescence tc,time,time at coalescence,2,10,3
η,and the mass ratio parameter η,parameter,mass ratio parameter,1,6,1
m,there are five parameters to estimate: the binary masses m and m',mass,binary mass,2,12,6
∂μhμν,with the harmonic gauge condition ∂μhμν ensured by conservation of the energymomentum tensor,condition,harmonic gauge condition,1,13,1
gμν,Gravitational waves are represented by a tensor metric perturbation gμν in the transverse traceless,perturbation,tensor metric perturbation,1,14,1
ϕ,the symmetry breaking field ϕ acquires a negative mass squared,field,symmetry breaking field,1,10,1
R,the previous stage for the typical size of bubbles R upon collision,size,typical size of bubbles,1,12,3
k,that obtained at preheating by simply converting the wavenumber k into frequency,wavenumber,wavenumber,1,12,1
ρ,the slowroll conditions thanks to a large vacuum energy ρ,energy,large vacuum energy,1,10,1
γB,all acquired datasets characterised by the phenomenological parameter γB,parameter,phenomenological parameter,1,9,1
Te,performed in a dilution refrigerator at an electron temperature Te,temperature,electron temperature,1,10,1
VG,refer to the plunger gate voltage as VG and emphasize here that,voltage,plunger gate voltage,1,12,2
B,the quantum dot states we apply a magnetic field B perpendicular to the substrate plane,field,magnetic field,1,15,1
m~∥,is an effective distance between the two electrons and m~∥ is the electron effective mass,mass,electron effective mass,1,15,5
W,by minimizing the potential energy of the two electrons W,energy,potential energy of the two electrons,1,10,5
VG,following we refer to the plunger gate voltage as VG,voltage,plunger gate voltage,1,10,2
U,In addition we have extracted the Coulomb interaction energy U between two electrons,energy,Coulomb interaction energy,1,13,1
EZ,where EZ is the Zeeman energy,energy,Zeeman energy,1,6,4
N,Inside each diamond the electron number N on the dot is fixed,number,electron number,1,12,1
kx,is the energy of the electron with longitudinal momentum kx and spin s quantized along the direction of,momentum,longitudinal momentum,2,18,1
M,magnetic field can be accounted for by the operator M,operator,operator,1,10,1
λ,Similarly the width of the Gaussian wave packet λ can be estimated,packet,Gaussian wave packet,1,12,1
r,EZ is the Zeeman energy r is an effective distance,distance,effective distance,2,10,4
g,In lowdimensional systems the electronic gfactor g depends on system size and dimensionality,gfactor,electronic gfactor,1,13,1
λx,We further estimate an effective size λx,size,effective size,1,7,1
S,the transition from singlet S to triplet T groundstate with increasing magnetic,singlet,singlet,2,12,1
ES,chemical potentials and by assuming that the singlet energy ES is independent of B,energy,singlet energy,1,14,1
aB,planetesimal growth in binary star systems with stellar separations aB,separations,stellar separations,1,10,1
L,angular momentum per unit mass of the final planets L normalized by,momentum,angular momentum per unit mass of the final planets,1,12,8
eB,with stellar separations aB and eccentricities eB,eccentricities,eccentricities,2,7,1
qB,such that the systems take on periastron values of qB,values,periastron values,1,10,2
e,The protoplanets began with initial eccentricities of e,eccentricities,initial eccentricities,1,8,2
νkj,In terms of the phase νkj of the field χk,phase,phase,2,10,1
R,and R is the FRW scalar factor,factor,FRW scalar factor,1,7,5
H,Here H is the present Hubble constant,constant,present Hubble constant,1,7,5
T,we may characterize an orbit by its proper period T and proper circumference C,period,proper period,2,14,1
q,Hubble constant (not the time varying Hubble parameter) and q the present deceleration parameter,parameter,present deceleration parameter,1,14,4
λ,implies for the de Broglie length λ,length,de Broglie length,1,7,1
C,orbit by its proper period T and proper circumference C,circumference,proper circumference,2,10,1
ϕ,metric in small parameters: the local (Newtonian) gravitational potential ϕ,potential,local (Newtonian) gravitational potential,1,10,1
u,the usual RW metric the comoving observer has velocity u,velocity,velocity,1,10,1
T,The terms T Re[T] and Im[T] are the coefficients,coefficient,coefficient,3,9,6
Δ,and Δ being the angular side of the box,side,angular side of the box,1,9,4
R,Notice also that R is the unique estimator whose distribution is analytically,estimator,unique estimator,1,12,4
β,assumption is described by the introduction of a phase β that parametrize the displacement of the main spillover,phase,phase,1,18,1
∇,where ∇ is the angular Laplace operator defined as,operator,angular Laplace operator,1,9,5
mν,and three active neutrino flavors with a total mass mν,mass,total mass,1,10,1
i,the azimuth in the plane of the disk and i is the inclination,inclination,inclination,1,13,3
t,the time of peak waveform (polarization) amplitudes agree (labeled t),time,time of peak waveform,1,10,8
MADM,an orbital period of Mω and total mass MADM to determine the puncture positions mass parameters,mass,total mass,2,16,1
ϵ,where an appropriate strain field ϵ in the contact area is related to,field,strain field,1,13,1
γb,current is normalized to the critical current without stress γb,current,critical current,1,10,9
H,Notice that in nonzero applied magnetic field H,field,magnetic field,1,8,1
φ,where φ is the frustration parameter,parameter,frustration parameter,1,6,4
Ib,a bias point Ib is selected for the whole array,point,bias point,1,10,1
Ba,For example some superconductors like Ba xO and La were found,superconductor,superconductor,3,11,2
χ,The relationship between the coefficients χ and χg,coefficient,coefficient,2,8,1
Ba,For example some superconductors like Ba xO and La were found to exhibit,superconductor,superconductor,3,12,2
EJ,the contact area is related to the Josephson energy EJ,energy,Josephson energy,1,10,1
φ,where φ is the frustration parameter with,parameter,frustration parameter,1,7,4
β,with σ being some characteristic value (the parameter β is related to the socalled ultimate stress σm),parameter,parameter,3,17,1
χg,The relationship between the coefficients χ and χg is given by,coefficient,coefficient,2,11,3
v,and vertical junctions are denoted by superscripts h and v respectively,superscript,superscript,2,11,3
h,horizontal and vertical junctions are denoted by superscripts h and v respectively,superscript,superscript,2,12,1
EMA,and inserted into the magnetic energy of the array EMA,energy,magnetic energy,1,10,4
γ,number of spins λ and the parameter for the degree of anisotropy γ,parameter,parameter for the degree of anisotropy,2,13,6
Δ,the gap Δ between the two lowest eigenvalues of the,gap,gap between the two lowest eigenvalues,1,10,1
λ,where N is the total number of spins λ the transverse magnetic field,field,transverse magnetic field,2,13,4
sc,is more dependent on N near the critical points sc,points,critical points,1,10,1
N,where N is the total number of spins,number,total number of spins,1,8,4
α,there is a systematic trend between the GMF slope α and the central concentration parameter c,slope,GMF slope,2,16,1
c,of globular clusters (GCs) and their central concentration parameter c,parameter,central concentration parameter,1,10,1
fr,amplitude (sky and polarization averaged) at the restframe frequency fr,frequency,restframe frequency,1,10,1
Δf,the number of cycles spent in a frequency interval Δf,interval,frequency interval,1,10,1
q,distribution the majority of detections having a mass ratio q,ratio,mass ratio,1,10,1
σλ,in λspin with mean λ¯spin and standard deviation σλ,deviation,standard deviation,1,9,1
P,when (total) mass ratio of the progenitor halos is P,ratio,total mass ratio of the progenitor halos,1,10,6
t,is the (observed) frequency emitted at time t of the observation,time,time,1,11,1
ωL,between frequencies of purely transversal ωT and purely longitudinal ωL modes in,frequency,frequency of purely longitudinal,2,12,8
θ,our experiment by azimuthal angle φ and incidence angle θ,angle,incidence angle,2,10,5
φ,is well defined in our experiment by azimuthal angle φ and incidence angle θ,angle,azimuthal angle,2,14,1
w,the dune sizes will be expressed by their width w in order to be able to compare the,width,width,1,18,1
qc,where qc denotes the equilibrium,equilibrium,equilibrium,1,5,3
Qin,given by the difference between the net sand influx Qin and outflux Qout,influx,net sand influx Qin,2,13,1
wchar,sizes differing only slightly from some previously chosen width wchar,width,width,1,10,1
ri,for different initial lateral offsets θi and volume ratios ri keeping the volume of,ratios,volume ratios,2,14,1
qin,where qin and qout are the dune influx and outflux,influx,dune influx,2,10,6
Qout,difference between the net sand influx Qin and outflux Qout,outflux,outflux,2,10,1
Vtot,conservation of the total volume of the two dunes Vtot,volume,total volume of the two dunes,1,10,5
μ,The integrated luminosity after all event cuts is μ and μ associated with an effective,luminosity, integrated luminosity after all event cuts,1,15,6
R,The remaining uncertainties in the ratio R are listed in Table,ratio,ratio,1,11,1
ΔE,Thus the energy gain ΔE of the,gain,energy gain,1,7,1
H′,To obtain a Hamiltonian H′ of the form a basis transformation with,Hamiltonian,Hamiltonian,1,12,1
Δt,and the time step Δt,step,time step,1,5,1
Δz,The grid parameters are Δz,parameter,grid parameter,1,5,2
η,where η is the scaling angle,angle,scaling angle,1,6,4
V,the nonrelativistic electron dynamics in a timeindependent (Coulomb) potential V,potential,timeindependent Coulomb potential,1,10,1
Ip,where Ip is the ionization potential of the hydrogen,potential, ionization potential of the hydrogen,1,9,4
M,Te and Rs depend on both the halo mass M and the redshift z and ne depends on,mass,halo mass,1,18,1
Mmax,The dependence on maximum mass Mmax is realtively weak,mass,maximum mass,1,9,1
δs,in the hot medium E in units of ergs δs is the ratio of the density,ratio,ratio of the density,1,16,3
tGyr,surrounding medium to the mean cosmic baryon density and tGyr is the expansion time,time,expansion time,1,14,4
L,where L is a typical lengthscale of the density inhomogeneity,lengthscale,typical lengthscale of the density,1,10,4
n,here n is the number density of the heavy particles,density,number density of the heavy particles,1,10,4
χ,where σ is the perturbation of the density and χ is the epicyclic frequency,frequency,epicyclic frequency,2,14,4
ζ,or less than the ions inertial length divided by ζ where ζ is ionization degree,degree,ionization degree,1,15,5
mp,Assuming that the mean mass of the particles is mp,mass,mean mass of the particles,1,10,5
ne,However charge neutrality ne is assumed to be valid,neutrality,charge neutrality,1,9,1
cs,where cs is the sound speed,speed,sound speed,1,6,4
γ,effective adiabatic exponent γ until the temperature rises above,exponent,effective adiabatic exponent,1,9,1
A,A is the initial amplitude of the oscillation which,amplitude,initial amplitude of the oscillation,1,9,4
P,the fundamental mode TA in terms of its period P,period,period,1,10,1
r′,from its equilibrium radius r to a new radius r′ and then,radius,new radius,2,12,6
d,for a density d,density,density,1,4,1
α,being the power attenuation factor and α the considered distance,distance,considered distance,1,10,3
R,them is not greater than a given communication radius R,radius,communication radius,1,10,1
G,common representation of a wireless network is a graph G,graph,graph,1,10,1
k,the scale factor N(t) is the lapse function and k is the curvature constant that takes the values,constant,curvature constant,2,18,4
Pβ,where β and Pβ are the initial conditions,condition,initial condition,2,8,4
ϕ,the FriedmannRobertsonWalker (FRW) universe coupled to a scalar field ϕ and cosmological constant Λ the noncommutative quantum and,field,scalar field,2,18,1
i,the companion mass M and the system inclination i,inclination,system inclination,2,9,1
M,it does allow constraints on the primary star’s mass Ms the companion mass M and the system inclination,mass,companion mass,2,18,5
Ra,at a distance larger than the accretion capture radius Ra,radius,accretion capture radius,1,10,1
Γ,typical of MXRBs and we used the photon index Γ from the microquasar,index,photon index,1,13,1
R,where R is the neutron star radius,radius,neutron star radius,1,7,5
P,the observed beaming fraction depends on the rotational period P since the beam radius varies,period,rotational period,1,15,1
Rmag,passes into the propellor regime where the magnetospheric radius Rmag is smaller than Ra,radius,magnetospheric radius,1,14,1
I,neutron star radius c is the speed of light I is the moment of inertia,inertia,moment of inertia,2,15,5
B,speed of light I is the moment of inertia B is the strength of the magnetic field,strength,strength of the magnetic field,2,17,3
LX,between their bolometric luminosities Lbol and their Xray luminosities LX,luminosities,Xray luminosities,2,10,6
Rc,than Ra but remains larger than the corotation radius Rc,radius,corotation radius,1,10,1
M,where M is the absolute magnitude of the object,magnitude,absolute magnitude of the object,1,9,4
Dt,For a uniform thermal diffusivity Dt and a spherically symmetric source,diffusivity,uniform thermal diffusivity,1,11,1
dn,For example given a damping dn for a wave after one round trip,damping,damping,1,13,1
λ,equality of penetration depth L and wavelength λ,wavelength,wavelength,2,8,1
r,replaced by its average value between the source radius r and,radius,source radius,1,11,1
κ,a source term and where the complex wave number κ satisfies,number,complex wave number,1,11,1
td,lowest frequency resonant mode being twice the diffusion time td for photons to undergo a random walk,time,diffusion time,1,17,1
νkin,is given by a sum of the kinetic νkin and the magnetic νmag viscosities,viscosity,kinetic viscosity,2,14,5
VA,propagating along the zaxis whose phase velocity VA coincides with their group one,velocity,phase velocity,1,13,1
ωpl,The plasma frequency ωpl is much higher than the collisions frequency,frequency,plasma frequency,1,11,1
Te,is the Debye radius Tp and Te are respectively the proton and electron temperatures multiplied,temperature,electron temperature,2,15,7
ρ,expressed in terms of the plasma viscosity η density ρ and the electrical conductivity of the fluid σ,density,density,3,18,1
ωmax,the maximal electronproton collisions frequency ωmax,frequency,maximal electronproton collisions frequency,1,6,1
τh,This time constant τh together with the velocity of the solar wind,constant,time constant,1,12,1
Qabs,have calculated the absorption power of the Alfvén waves Qabs that is the power transmitted per unit volume,power,absorption power of the Alfvén waves,1,18,5
ωA,where the null index denotes the wave amplitude ωA is the frequency of the Alfvén waves,frequency,frequency of the Alfvén waves,1,16,3
Tp,is the Debye radius Tp and Te are respectively the proton and electron temperatures,temperature,electron temperature,2,14,9
f,where f is the circular frequency,frequency,circular frequency,1,6,4
P,radiofrequencies f and f' and adjusting their relative powers P,powers,relative powers,2,10,1
f,this problem by driving the AOM with two radiofrequencies f and f',radiofrequency,radiofrequency,2,12,1
RD,They use an external radius RD when we use,radius,external radius,1,9,1
r,the scale height h(r) where r is the radial coordinate in the equatorial plane,coordinate,radial coordinate in the equatorial plane,2,14,4
γ,the number of oscillations observed in the characteristic time γ depends only on ϵ,number,number of oscillations,1,14,8
Ω,Ω is a scale parameter that governs the fluctuations,parameter,scale parameter,1,9,4
k,The constant k gives the maximal number of elements,constant,constant,1,9,1
V,Initially the potential energy V drives inflation Φ,energy,potential energy,2,8,1
Ψ,two complex dimensional moduli space parameterized by the fields Ψ and Φ,field,field,2,12,1
d,where d is the width of the indicator diagram,width,width of the indicator diagram,1,9,3
f,all the data reported here were acquired at frequency f,frequency,frequency,1,10,1
T,Experiment was performed at a constant coolant temperature T,temperature,constant coolant temperature,1,9,1
m,m is the effective mass,mass,effective mass,1,5,4
r,The differential resistance r was measured using quasiDC,resistance,differential resistance,1,8,1
k,where f is the focal length and k is the circular wavenumber,wavenumber,circular wavenumber,2,12,4
ϵ,view of the related quantity the imaginary dielectric constant ϵ,constant,imaginary dielectric constant,1,10,1
τ,We extract the frequency dependent scattering rates τ,rates,frequency dependent scattering rates,1,8,1
γ,frequency ωp with a width γ,width,width,2,6,1
ωp,where ωp is the plasma frequency,frequency,plasma frequency,1,6,4
m,frequency dependent scattering rates τ and effective masses m via the relations,masses,effective masses,2,12,1
tXlong,We adopt tXshort and tXlong as the shortest and longest timescales of variation,timescale,longest timescale,2,13,6
x,cloud core scaling (Eq. 5) taking their cloud dimensionless size x,size,cloud dimensionless size,1,10,1
R,where L is the bolometric luminosity of the source R the distance of the medium from the source,distance,distance of the medium,2,18,2
T,T is the temperature in units of K,temperature,temperature,1,8,3
tX,flux but assuming that the timescale of this change tX is shorter than the timescale needed to restore,timescale,timescale of this change,1,18,4
F,to a change of the incident Xray radiation flux F,flux,incident Xray radiation flux,1,10,1
H,where H is a geometrical size of a whole cloud,size,geometrical size of a whole cloud,1,10,4
tXshort,We adopt tXshort and tXlong as the shortest and longest timescales,timescale,shortest timescale,2,11,8
ℳ,the expected Mach number ℳ of an isothermal shock is low,number,Mach number,1,11,1
n,n is the cloud hydrogen density at the surface,density,cloud hydrogen density,1,9,5
ξ,and the ionization parameter ξ where L is the,parameter,ionization parameter,1,9,1
Λ,where k is the Boltzmann constant Λ is the cooling function in units of,function,cooling function,2,14,4
ν,the resonance to the BEC side at different speeds ν,speeds,different speeds,1,10,1
fm,where fm is is the maximum conversion efficiency,efficiency,maximum conversion efficiency,1,8,6
δ,Rice we write the LandauZener parameter for atommolecule transitions δ in terms of experimentally,parameter,LandauZener parameter for atommolecule transitions,1,14,4
Jπ,The relative coordinate wavefunction has quantum numbers Jπ,numbers,quantum numbers,1,8,1
ϰij,where ϰij are dimensionless parameters extracted,parameters,dimensionless parameters,1,6,3
qCDW,The modulation wavevector qCDW as determined by Fourier analysis,wavevector,modulation wavevector,1,9,1
Δt,pulse durations significantly shorter than the interval between pulses Δt in order to avoid errors due to pulse,interval,interval between pulses,1,18,3
L,where L is the distance between,distance,distance,1,6,3
x,be expressed as a function of the two variables x and y,variable,variable,1,12,1
α,has an absorption coefficient α at,coefficient,absorption coefficient,1,6,1
p,coherently excited such that each has a small probability p of creating a pair corresponding to a,probability,probability,1,17,1
θ,depends on the phase difference θ,phase,phase difference,1,6,2
γh,where γh is the homogeneous linewidth of the relevant transition,linewidth,homogeneous linewidth of the relevant transition,1,10,4
F,the errors due to double emissions that the fidelity F of the final entangled state,fidelity,fidelity,1,15,1
αL,Here αL is the optical depth of the medium,depth,optical depth,1,9,4
ηD,where ηD is the photon detection efficiency,efficiency,photon detection efficiency,1,7,5
t,t is the time before transfer to the hyperfine,time,time before transfer to the hyperfine,1,9,3
⟨σv⟩,⟨σv⟩ is the cross section for the fusion reactions,section,cross section for the fusion reactions,1,9,4
Pfusion,Pfusion being the total fusion power,power,total fusion power,1,6,5
n,where p was used and n is the plasma density,density,plasma density,1,10,4
Ip,B is the magnetic field in T and Ip is the plasma current in MA,current,plasma current,2,15,4
κ,constant M is the effective mass in AMU and κ is the plasma elongation,elongation,plasma elongation,2,14,4
G,An expression for the extrapolated fusion gain G,gain,extrapolated fusion gain,1,8,1
T,where T is the plasma temperature V is the plasma,temperature,plasma temperature,1,10,4
αn,that enters can be easily identified through the coefficient αn which can be set to zero,coefficient,coefficient,1,16,1
q,for fixed magnetic field and plasma shape Ip with q being the safety factor,factor,safety factor,2,14,4
M,Here CX is a constant M is the effective mass in AMU,mass,effective mass,2,12,4
Paux,where Pfusion is the total fusion power Paux is the externally applied heating power,power,externally applied heating power,2,14,1
σM,The associated error σM quoted in column,error,associated error,1,7,1
d,primary beam of an interferometer with an antenna diameter d,diameter,antenna diameter,1,10,1
δτN,and it must be sampled at Nyquist sampling step δτN,step,Nyquist sampling step,1,10,1
R,where R is a normalising factor and are geometric,factor,normalising factor,1,9,4
Δν,single real correlator having a rectangular passband of width Δν is given by,width,width,1,13,1
ϕ,where ϕ is the signal phase which depends on the,phase,signal phase,1,10,4
νRF,and a maximum ratio of baseline to dish diameter νRF,ratio,maximum ratio of baseline to dish diameter,1,10,6
D,where D is the baseline length projected on to the,length,baseline length,1,10,4
τ,and fractional infrared luminosities τ of approximately,luminosities,fractional infrared luminosities,1,7,1
γ,orientation we introduce parameters the inner radius the width γ assuming radial density,width,width,1,13,1
ελ,with an effective grain radius a have radiative efficiency ελ,efficiency,radiative efficiency,2,10,1
σm,σm is the fractional surface density experienced by a,density,fractional surface density,1,9,5
r,from an annulus of width dr at a distance r from a star is given by,distance,distance,2,16,1
ρ,a grain density of ρ leads to masses,density,grain density,1,8,2
L,mass M of the system the orbital angular momentum L the individual black hole,momentum,orbital angular momentum,2,14,1
ω,For a given oscillation frequency ω we produce a signal lasting five GW cycles,frequency,oscillation frequency,1,14,1
αlmn,the black hole’s oscillation frequencies ωlmn and damping factors αlmn should whose value is predicted by linear perturbation,factors,damping factors,2,18,1
rex,in this work Ψ is calculated at extraction radius rex,radius,extraction radius,1,10,1
n,the angular dependence of the signal and the index n sorts the modes by the magnitude of their,index,index,1,18,1
T,signal equally spaced in time with time sampling interval T and we label each sample by an integer,interval,time sampling interval,1,18,1
tfin,the signal length tfin,length,signal length,1,4,1
q,black hole masses M M' and the mass ratio q,ratio,mass ratio,3,10,1
σ,to be white and Gaussian with standard deviation σ and mean μ,deviation,standard deviation,2,12,1
j,QNM for a black hole of dimensionless spin parameter j,parameter,dimensionless spin parameter,1,10,1
M,allows us to compute the total ArnowittDeserMisner (ADM) mass M of the system the orbital angular momentum L,mass,total ArnowittDeserMisner mass,2,18,1
ψcutoff,each multipolar component |rMψlm| becomes less than some factor ψcutoff times the peak amplitude,factor,factor,2,14,1
J,orbital angular momentum gives the total ADM angular momentum J of the system.,momentum,total ADM angular momentum,1,13,7
μ,white and Gaussian with standard deviation σ and mean μ,mean,mean,2,10,1
t,Ideally the starting time t should be determined by a compromise between the,time,starting time,1,13,1
Δz,adopt as standard for our analysis the redshift interval Δz corresponding roughly to,interval,redshift interval,1,13,1
MB,a total magnitude mB' and thus an absolute magnitude MB,magnitude,absolute magnitude,2,10,7
z,a subsample of the COSMOS catalogue with mean redshift z,redshift,mean redshift,1,10,1
μν,due to the cosmological dimming the observed surface brightness μν is related to the restframe,brightness,observed surface brightness,1,15,1
σz,between spectroscopic and photometric redshifts has a typical value σz,value,value,1,10,1
S,is that the lowest attainable entropy is around S which corresponds to a temperature of,entropy,lowest attainable entropy,1,15,3
EF,temperature should be proportional to the free Fermi energy EF,energy,free Fermi energy,1,10,1
Ω,we obtain the full thermodynamic potential Ω,potential,full thermodynamic potential Ω,1,7,1
μ,straightforwardly following the thermodynamic relations once the chemical potential μ,potential,chemical potential,1,10,1
P,strictly satisfied yielding an exact identity for the pressure P,pressure,pressure,1,10,1
E,The ground state energy E of a homogeneous gas at zero temperature should,energy,ground state energy,1,13,1
U,accounts for the anharmonicity in the shallow trapping potential U,potential,shallow trapping potential,1,10,1
B,at a magnetic field B slightly above the resonance position,field,magnetic field,1,10,1
kFa,The coupling constant kFa where kF is the Fermi wave,constant,coupling constant,2,10,1
Δt,investigate the coarsegrained bidask spread over a time interval Δt,interval,time interval,1,10,1
ζ,where the exponent ζ ranging from,exponent,exponent,1,6,1
ζI,The two distributions decay as power laws with exponents ζI for definition,exponents,exponents,1,12,1
ζII,with exponents ζI for definition I and ζII for definition II,exponent,exponent,2,11,6
