var,context,def
"WT","where |𝐄| is the electric field strength and WT is the total shower energy","energy"
"δ","The leading coefficient is A and δ","coefficient"
"A","The leading coefficient is A and δ","coefficient"
"ν","where R is the distance to the source ν is the radio frequency and","source"
"n","where n is the dopant concentration","band"
"Q","with the extremal charge Q","charge"
"Δ","first order approximation the parameters Δ and Δ can be extracted","parameters"
"α","where G is some monotonic function of x and α is a parameter","parameter"
"σ","also entails the standard deviation σ of the pruned length change over instances","deviation"
"n","on an a priori order in which to visit n cities","cities"
"p","where p is the probability of a city needing to","probability"
"M","matching the spectral characterization of our target (solar metallicity M)","metallicity"
"Erot","of angular velocity and rotational energy per nucleon Erot","energy"
"K","calculations the socalled soft EOS with an incompressibility of K is used and the symmetry strength","incompressibility"
"b","and impact parameter b","parameter"
"C","is used and the symmetry strength C without particular consideration","strength"
"k","Here k is the wavenumber in units of","wavenumber"
"D","correlation function reflects the fractal dimension D of the distribution","dimension"
"L","Clusters are located randomly in a cube of size L","size"
"Δm","at least 30 galaxies in a magnitude interval of Δm starting from the third","interval"
"l","the presence of a dominant scale l in the distribution of highdensity","scale"
"bj","is complete up to magnitude bj and was the basis for a catalogue","magnitude"
"hΩm","Tegmark & Zaldarriaga suggested a relatively high matter density hΩm","density"
"fgas","galaxies which gives the fraction of gas in clusters fgas","fraction"
"b","This leads to bias parameter values b","values"
"Dm","amplitude ai and period pi around the mean density Dm","density"
"Γ","these models were calculated for the parameter Γ","parameter"
"Ωtot","The total density of matter Ωtot determines the position of","matter"
"n","be characterised by the power index on large scales n and by its amplitude on certain characteristic scales","scales"
"H","use in this paper the Hubble constant in units H","constant"
"Ωn","density of matter Ωm where Ωb Ωc and Ωn are the densities","density"
"Ωc","estimate the density of matter Ωm where Ωb Ωc and Ωn are the densities","density"
"H","where R is the characteristic radius and H is the scale height of the emitting material","height"
"f","Wang and Landau have to reduce their multiplication factor f to a value ffinal which differs from","factor"
"β","from the DOS and the inverse temperature β","temperature"
"Ei","by recording all attempts to move from an energy Ei to","energy"
"Vq","has relative velocity magnitude Vq at pericentre distance q given by","magnitude"
"Rs","a radius Rp of the primary or a radius Rs of the secondary","radius"
"i","shall consider this effect in terms of the inclination i of the perturber’s orbit to the initial disc","inclination"
"q","consider a single pericentre distance of q","distance"
"e","star of orbital eccentricity e with respecte","eccentricity"
"Rp","if they approach either star to within a radius Rp of the primary or","radius"
"Ms","potential due to the secondary with mass Ms and instantaneous position 𝐫s is given","mass"
"td","The decoherence timescale td for the particle pair is given by","timescale"
"ϵ","specifying a maximum relative error ϵ in the velocity magnitude","error"
"Ω","particles move around their orbits with local orbital frequency Ω","frequency"
"Vrel","with the local relative velocity Vrel","velocity"
"nf","eight surrounding cells become smaller than a fixed value nf","value"
"ε","transition occurs with a sharp jump in energy density ε at","density"
"s","invariant collision energy s with the local relative velocity Vrel","energy"
"λeff","by an effective deceleration length λeff with a constant value λeff","length"
"ρ","The presence of the total density ρ implies interactions between all components of","density"
"Tdec","transition of the crossover type with a deconfinement temperature Tdec","temperature"
"ρg","where ρq and ρg are the densities of unbound quarks and gluons","density"
"ρq","where ρq and ρg are the densities of unbound quarks","density"
"Fy","As function of beam energy the theoretical slope parameter Fy of the differential directed flow is in good","parameter"
"Fαν","The friction term Fαν in","term"
"Jαμ","where the baryonic current Jαμ and","current"
"p","temperature dependences of the energy density ε and pressure p for the different approaches presented in","pressure"
"m","defined as a function of absolute magnitude M for apparent magnitude m","magnitude"
"EW","the disk includes an emission line with equivalent width EW while the bulge has no emission lines so","width"
"M","function ϕi(M) defined as a function of absolute magnitude M for apparent","magnitude"
"F","a source of flux F and luminosity L is seen at distance DA(z)","flux"
"Nw","cutoff and Nw is the wormholes number ","number"
"α","where we allow α to be a positive real number","number"
"ϕ","during the inflationary evolution so that the inflaton field ϕ satisfies the equation","field"
"N","The number of efolds is N and we began the model with ρrad","number"
"Γ","Hubble parameter a is the cosmological expansion factor and Γ is the dissipation coefficient","coefficient"
"ρϕ","where ρϕ and ρrad are the energy densities near the","density"
"Tend","end yield is directly related to the final temperature Tend by","temperature"
"Γ","to have the correct magnitude requires a dissipation factor Γ and hence a dimensionless dissipation","factor"
"s","where the entropy s is equal to nrad in the highenergy regime","entropy"
"g","where g is the number of relativistic degrees of","number"
"t′","where t t′ t′′ is the hopping parameter and μ is","parameter"
"U","where U is the parameter for the onsite Coulomb interaction","parameter"
"μ","where t t′ t′′ is the hopping parameter and μ is the chemical potential and","potential"
"t","where t t′ t′′ is the hopping parameter and μ","parameter"
"t′′","where t t′ t′′ is the hopping parameter and μ is the","parameter"
"L","ν is the kinematic viscosity κ the thermal diffusivity L the height of the cell and Δ the","diffusivity"
"ϵu","rate and the thermal dissipation rate ϵu into their boundary layer","rate"
"Nu","The Nusselt number Nu is found here to be independent of Pr","number"
"Pr","is extended towards very large Prandtl numbers Pr","numbers"
"λu","in terms of U Δ and the widths λu and λθ of the kinetic and thermal boundary","width"
"λθ","terms of U Δ and the widths λu and λθ of the kinetic and thermal boundary layers respectively","width"
"Re","and the Reynolds number Re","number"
"N","The number N is also the number of onfield","number"
"α","where the coefficients α are given by relation","coefficients"
"N","We consider a model of N two dimensional bosons in a harmonic trap with translational","bosons"
"L","wave functions with angular momentum L and corresponding energies and apply it","momentum"
"v","trap weakly interacting via the two particle potential v possesing translational","potential"
"α","and the other is the angle α that the Fermi velocity at the node located","angle"
"H","and λb of the zero field penetration depth tensor H is a characteristic field of order","tensor"
"ψ","as a function of the angle ψ that an applied field 𝐇 in the a","angle"
"α","our model the role of the parameter α in this equation is","parameter"
"Δt","The distribution of time intervals Δt between two successive linking a selected node in","intervals"
"N","In a fully grown network of N nodes we study the structure of connected clusters","nodes"
"τin","The scaling exponents τin and τout given in the inset to","exponent"
"β","the control parameter—average fraction β of updated and added links per","fraction"
"L","For finite systems with effective size L theory predicts that the conductivities σαβ follow scaling","size"
"I","is the twopoint conductance with current I and voltage U measured at the same contacts","current"
"lm","graph the filling factor dependence of the magnetic length lm is drawn","length"
"ν","at integer filling factors and maxima near half integer ν","integer"
"ℛS","loaded line is made up of the sample reflection ℛS and of properties of the line itself such","reflection"
"δν","for large filing factor distances δν from the critical point we find ξ","distances"
"c","in agreement with scaling however with a scaling exponent c which is larger than","exponent"
"γ","from the critical point we find ξ ∝ δν γ with a scaling exponent γ","exponent"
"ξ","used for a direct evaluation of the localization length ξ","length"
"UR","UR is an arbitrary unitary matrix for Dirac neutrinos","matrix"
"νL","of the neutrino fields is changed by unitary rotations νL","rotations"
"μ","The hermitian matrices μ of MMs and","matrices"
"UL","and UL is the unitary mixing matrix connecting lefthanded flavour","matrix"
"L","with particles in a periodic cubic box of size L","size"
"δc","number of the excursion set at the percolation threshold δc is positive and nearly equal to the number","threshold"
"n","powerspectrum as a function of wavenumber k spectral index n and amplitude A is given by","index"
"α","where α and ϖ are the lapse function and the","function"
"K","The variable y and the function K are defined by","function"
"βi","and the ratio βi of the internal stress to the","ratio"
"ν","with the separation constant ν","constant"
"BT","In the magnetically-dominated wind region the toroidal magnetic field BT is approximately given by","field"
"ΩK","could be quite longer than the dynamical timescale ΩK particularly in a thin","timescale"
"Rν","To determine the radial part Rν the condition for regularity at the event horizon","part"
"k","with arbitrary positive k because the oscillatory real function Pν(w) has the","positive"
"ΩF","consider the magnetosphere slowly rotating with the angular velocity ΩF of a magnetic field line and the hole’s","velocity"
"ϖ","where α and ϖ are the lapse function and the cylindrical radius","function"
"y","The variable y and the function K are defined by","variable"
"k","Here k is the radial diffusion coefficient where k","coefficient"
"Vs","the distribution function V the wind speed Vs the shock speed r the solar radial distance","speed"
"β","Using the inverse compression ratio β","ratio"
"ℏω","are in resonance with a pumping radiation ℏω and light emission takes place at","radiation"
"ϵ","spaced threelevel structure where the lowest intersubband transition energies ϵ","energy"
"λ","denote the permeability by λ instead of the more common μ since the","permeability"
"v","The speed of gluons in this regime is v","regime"
"Nf","The number of light quark flavors Nf turns out to play a crucial role","flavors"
"μ","with two light flavors at large baryon chemical potential μ","potential"
"g","where Δ is the superconducting gap g is the strong coupling and a","coupling"
"ϵ","if it has a ϵ different from unity","different"
"N","the entanglement requires multiple parameters for characterization for example N parameters for pure entangled states of bipartite","parameters"
"R∗","requires that some of the extra dimensions have radii R∗ that are large compared to R with","dimensions"
"ϕ","The attractor angle ϕ and signals from the autocollimator the","angle"
"I","where I is the calculated rotational inertia of","inertia"
"R","law for all distances greater than the Planck length R","length"
"τ","The attractor rotation period τ was set to","period"
"n","is the unification scale (usually taken as M) and n is the number of large extra dimensions","number"
"c","the pendulum the superscript tildes on the b and c coefficients indicate corrections for electronic time constants","coefficient"
"α","phase and an asymmetric phase depending on the ratio α between agents and information complexity","ratio"
"wi","The amount s invested by speculator wi will be discussed below","speculator"
"Q","Q is a function of z","function"
"N","key variable is the ratio α between information diversity P and the number N","number"
"ϵ","and assuming that each agent i invests a fraction ϵ of it in the market","fraction"
"μ","in one of P events labeled by an integer μ which is drawn at random independently in each","integer"
"𝒩","Let 𝒩 be the set of agents engaged in the","set"
"vi","vi is the amount they invest in the market","amount"
"ci","fact that agents have a fixed budget ci which itself evolves","budget"
"H","behavior is characterized by market’s predictability H and global efficiency","predictability"
"s","They have S strategies labeled by the index s and can choose the one which","index"
"E~","highly excited complex of total energy E~ which every now and then is close to","energy"
"PG","The calculated mean value of the conductance polarization PG agrees with the polarization","polarization"
"Fμνa","where Fμνa is Yang-Mills gauge field strength","strength"
"Fμν","where Fμν is the covariant electromagnetic tensor","tensor"
"𝝎","local fluid velocity 𝒗 replacing 𝑨 and the vorticity 𝝎 replacing 𝑩","vorticity"
"δ","and δ is a phase","phase"
"g","is due to the differences between the coefficients of g and","coefficient"
"θij","any of the angles θij has the value or","angles"
"λD","Here λD is the thermal deBroglie","deBroglie"
"m","where m is the mass of an atom and δ","mass"
"v′","transitions to the triplet vibrational state v′ with the binding energy","state"
"λ","is then I the wavelength is λ and the recoil frequency is ϵR","wavelength"
"δ","where m is the mass of an atom and δ is the detuning of the laser from the","detuning"
"ρ","Fermi wave number for the total density of atoms ρ and TF is the","atoms"
"μ","velocity of the molecular fragments (atoms) is v and μ is the reduced mass of","mass"
"I","is the thermal deBroglie wavelength I is the intensity (Wcm) of photoassociating light","intensity"
"kF","Here kF is the Fermi wave number","wave"
"ψ","The Heisenberg equation of motion for the molecular field ψ is","field"
"es","constant term T (open circles) b) the saddle’s energy es (full triangles) c) the IS energy em","energy"
"N","the representative point in the N configuration space can be mapped into a sequence","configuration"
"em","the IS energy em (open diamonds)","energy"
"ei","the instantaneous configuration potential energy per particle ei subtracted of the constant term T","energy"
"ns","the mean saddle’s order ns (number of negative eigenvalues of the potential energy","number"
"tw","the configuration at time t from that at time tw after crunch","time"
"dμ","The probability measure dμ is represented in the","measure"
"Q","where Q is the virtuality of the incoming photon which","virtuality"
"B","where the diffractive slope B is a function of WQt in general","slope"
"α","onto the surface at an angle α with respect to the surface normal with a","angle"
"L","island width and length by W and L respectively where a is the surface","length"
"j","island edge there must exist a net adatom current j which transfers","current"
"mx","is for an initial square island of size mx","size"
"fs","existing island with a flux fs where N is the island density","flux"
"U","where U is the condensation energy for each atom","energy"
"m","for an adatom on an island edge of length m to cross the island corner with rate qc","length"
"fd","the incident beam (the illuminated edge) with a flux fd valid in the low coverage","flux"
"β","Here β is a parameter describing the transfer efficiency from","parameter"
"θ","where θ is the coverage","coverage"
"F","respect to the surface normal with a deposition flux F","flux"
"r","fv of the highdensity region and the distance scale r","scale"
"Rs","the shell has a linear radius of Rs","radius"
"N","We assume that N objects were detected in the inner region over","objects"
"α","Here βγ and ω are real parameters and α is the eigenvalue of","eigenvalue"
"m","Here m is the angular quantum number and E the","number"
"ωext","in an external harmonic-oscillator potential with frequency ωext","frequency"
"ωL","where ωL is the Larmor frequency","frequency"
"n","where xk are the zeros of Q and n is the degree of Q","degree"
"c","where c is the speed of light","speed"
"𝐀","source of the Coulomb field and the vector potential 𝐀 is 𝐀 in the symmetric","potential"
"p","where the quantum numbers p are related to the eigenvalues of","numbers"
"E","Here m is the angular quantum number and E the energy","energy"
"B","the original problem: we may consider the magnetic field B (and thus ωL) as a fixed quantity and","field"
"β","given a fixed value of the parameter γ and β (or ω) the equation can only be solved","parameter"
"𝐁","in a Coulomb field and a constant magnetic field 𝐁","field"
"H","The eigenfunctions of the operator H at p must satisfy the equation","operator"
"Z","speed of light Z (positive or negative) is the charge of the","charge"
"n","where n can be an arbitrary number","number"
"ϵ","dimension of the momentum space is D where ϵ is the parameter defining the deviation","parameter"
"p","into a quarkanti-quark pair with momenta p","momentum"
"q","two loop propagator Feynman integral with an external momentum q and a mass M","momentum"
"tϵ","result means that one first factorizes the nonperturbative factor tϵ and then expand","factor"
"M","integral with an external momentum q and a mass M","mass"
"D","The dimension of the momentum space is D where ϵ is the parameter","space"
"H","H is Hadamard transformation and U","transformation"
"U","has a quantum machine that applies an unitary operator U on its three input qubits and give three","operator"
"dE","can be understood as originating from a Doppler shift dE in the quasiparticle energy spectrum","shift"
"H~","the applied field exceeds the temperature dependent field scale H~","scale"
"Δλ","the increase in the penetration depth Δλ due to thermally excited","depth"
"m","energy scale with a mass m and likewise for the spin","scale"
"BX","limit for each branching fraction BX is calculated using the following","fraction"
"v","is quantified experimentally by the elliptic flow parameter v","parameter"
"Tswitch","plane and constructs a switching surface at a temperature Tswitch","temperature"
"Tc","hadron phase exists up to a critical temperature of Tc and consists of ideal gas mixture","temperature"
"PT","is found by holding PT constant in while averaging","constant"
"ϵ","usually quantified in a Glauber model by the eccentricity ϵ","eccentricity"
"e","Over a wide range of energy densities e the temperature and","densities"
"Anα","and Anα is the energy which is absorbed the nth","energy"
"L","Usually Lα where L is the luminosity of","luminosity"
"Lα","where Lα is the luminosity associated with the αth photon","luminosity"
"Fα","where Fα is the direct flux for the αth photon","flux"
"Fnα","where Fnα is the scattered flux for the nth scattering","flux"
"ϕnα","scattering is described by the spherical angles θnα and ϕnα","angle"
"d","the system in the direction of the observer and d is the distance to the system being modeled","distance"
"σX","The uncertainty σX is only an upper limit on the true","uncertainty"
"Snα","where Snα is the new Stokes vector","vector"
"P","B in the range × × G and spin period P","period"
"B","which has mass MWD magnetic field B in the range","field"
"MWD","massive magnetic white dwarf is RE J0317–853 which has mass MWD","mass"
"MCh","of the white dwarf over the Chandrasekhar limiting mass MCh","mass"
"Ωc","core of such a star rotate with angular velocity Ωc","velocity"
"M","answer is clear namely when the total binary mass M is slightly smaller than MCh","mass"
"u¯","Here u¯ is the mean velocity","velocity"
"U","τ the wall shear stress ρ the fluid density U is the free stream velocity","density"
"G","The constants G and γ can be determined for instance from","constant"
"Re","function of the traditional Reynolds number Re based on the momentum thickness","number"
"γ","The constants G and γ can be determined for instance from the condition","constant"
"θ","course depend on the scaling parameter θ and on the choice of the","parameter"
"pij","particles belong to the same cluster with the probability pij","probability"
"γ","numerical data for the exponents γ and β are available","exponent"
"r","ferromagnetic interactions decaying with distance r as","distance"
"m","prograde modes with an azimuthal order m ranging from –12 to –14 and also a","order"
"i","as a function of inclination angle i","angle"
"ρ","indicates the number of nearest neighbors ρ is the electron concentration λ is a dimensionless","number"
"t","integral J is much greater than the transfer integral t Sij represents the total spin of the subsystem","integral"
"g","phonon mode the dimensionless parameter g indicates the strength of the electronphonon","parameter"
"S","and the conduction electron S is the spin of the tg core states","electron"
